propertyType,furnishing,flrNum,facing,totalFlrNum,city,carpetArea,bedrooms,bathrooms,exactPrice
Multistorey Apartment,Semi-Furnished,3.0,East,5,Patna,850.0,2,2,7300000
Multistorey Apartment,Semi-Furnished,2.0,East,4,Patna,970.0,3,2,6403200
Multistorey Apartment,Semi-Furnished,2.0,Unknown,10,Patna,1000.0,3,2,10296000
Multistorey Apartment,Unfurnished,3.0,West,6,Patna,1451.0,3,3,9522000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,3,12187300
Multistorey Apartment,Semi-Furnished,2.0,North,4,Patna,1000.0,3,2,5500000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,9703600
Multistorey Apartment,Unfurnished,5.0,East,6,Patna,800.0,2,2,7000000
Multistorey Apartment,Unfurnished,1.0,Unknown,7,Patna,1000.0,3,2,7958500
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,5904000
Multistorey Apartment,Unfurnished,2.0,West,3,Patna,1250.0,3,2,8000000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,4,4,15834000
Multistorey Apartment,Unfurnished,4.0,North - West,4,Patna,1000.0,3,2,9800000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,17,Patna,1000.0,3,3,8985960
Multistorey Apartment,Semi-Furnished,6.0,Unknown,6,Patna,1410.0,3,2,9300000
Multistorey Apartment,Semi-Furnished,3.0,Unknown,8,Patna,872.0,3,2,7056500
Multistorey Apartment,Semi-Furnished,2.0,North - East,7,Patna,1086.0,3,2,8012100
Multistorey Apartment,Unfurnished,3.0,South - East,6,Patna,1163.0,3,3,11376600
Multistorey Apartment,Unfurnished,4.0,West,5,Patna,1000.0,3,2,8718000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,2,8106800
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,1,1,4697550
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,7825000
Multistorey Apartment,Unfurnished,4.0,Unknown,5,Patna,1000.0,3,4,14000000
Residential House,Semi-Furnished,2.0,East,2,Patna,1000.0,2,2,8500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,4220000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,5801600
Residential House,Unfurnished,0.0,South,1,Patna,1500.0,4,4,12500000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,8450000
Multistorey Apartment,Semi-Furnished,2.0,East,4,Patna,1000.0,3,2,9200000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,882.0,2,2,7350000
Multistorey Apartment,Unfurnished,2.0,North,4,Patna,1000.0,3,2,8400000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,7259000
Multistorey Apartment,Unfurnished,0.0,South - East,4,Patna,916.0,3,2,6984620
Multistorey Apartment,Unfurnished,1.0,West,4,Patna,1320.0,3,3,10000000
Multistorey Apartment,Unfurnished,2.0,East,4,Patna,580.0,1,1,5467500
Multistorey Apartment,Semi-Furnished,1.0,East,4,Patna,1000.0,2,2,4896000
